ID,TITLE,BRAND,RATING,COUNT_OF_RATE,CURRENT_PRICE,SHIPPING_PRICE,TOTAL_PRICE,IMG_URL,ITEM_URL,MAX_RESOLUTION,DISPLAY_PORT,HDMI,DIRECT_X,MODEL,CREATED_TIME
1B4-00PP-003A2,MSI GTX 1080 Ti Founders Edition Graphic Cards GTX 1080 Ti Founders Edition,MSI,0.0,0,865.0,0.0,865.0,https://c1.neweggimages.com/ProductImageCompressAll300/A7U1_1_202002151811158118.jpg,https://www.newegg.com/p/1B4-00PP-003A2,,,,,h2020PB06XGM2RLC,2023-03-23 10:45:10
1B4-00PP-00539,MSI VCX GTX 1650 D6 AERO ITX OCV1 GTX 1650 D6 AERO ITX OCV1 4G GDR6 128B HDMI,MSI,0.0,0,251.4,0.0,251.4,https://c1.neweggimages.com/ProductImageCompressAll300/AN0MS2011098NCAc.jpg,https://www.newegg.com/p/1B4-00PP-00539,,,,,G165D6AIC1,2023-03-23 10:45:10
1B4-00PP-00779,MSI Radeon RX 6900XT GAMING X TRIO 16G 256-Bit GDDR6 Video Card,MSI,0.0,0,1045.0,0.0,1045.0,https://c1.neweggimages.com/ProductImageCompressAll300/AEUYS210218hoMEs.jpg,https://www.newegg.com/p/1B4-00PP-00779,,,,,MSI6900XTTRIO,2023-03-23 10:45:10
1B4-012V-001N7,"EVGA GeForce GTX 1080 Ti FTW3 HYBRID GAMING, 11GB GDDR5X, HYBRID & RGB LED, iCX Technology - 9 Thermal Sensors Graphics Card 11G-P4-6698-KR",EVGA,0.0,0,935.0,0.0,935.0,https://c1.neweggimages.com/ProductImageCompressAll300/V2CA_1_201906211329338686.jpg,https://www.newegg.com/p/1B4-012V-001N7,,,,,h2020PB074D7S8HR,2023-03-23 10:45:10
1B4-012V-001T3,EVGA  GeForce GTX 970 SSC ACX 2.0 4GB Graphics Cards 04G-P4-2975-KR,EVGA,0.0,0,800.78,0.0,800.78,https://c1.neweggimages.com/ProductImageCompressAll300/A7U1_1_20200215328934502.jpg,https://www.newegg.com/p/1B4-012V-001T3,,,,,h2020PB00NT9UUGI,2023-03-23 10:45:10
1B4-012V-001Z1,"EVGA GeForce GTX 580 1536 MB GDDR5 PCI Express 2.0 2DVI/Mini HDMI SLI Ready Graphics Card, 015-P3-1580-TR",EVGA,0.0,0,399.0,0.0,399.0,https://c1.neweggimages.com/ProductImageCompressAll300/A7U1_1_202002151190349330.jpg,https://www.newegg.com/p/1B4-012V-001Z1,,,,,h2020PB004BA117G,2023-03-23 10:45:10
1B4-012V-002P0,evga 256-P2-N525-AX The EVGA e-GeForce 7800 GTX looks just like NVIDIA's GeForce 7800 GTX,EVGA,0.0,0,263.0,0.0,263.0,https://c1.neweggimages.com/ProductImageCompressAll300/A5D5_1_201906211663817438.jpg,https://www.newegg.com/p/1B4-012V-002P0,,,,,h2020PB017O1YW9M,2023-03-23 10:45:10
1B4-09MM-00001,"Gigabyte GeForce GTX 1650 D6 WINDFORCE OC 4G (rev. 2.0) 4GB 128-Bit GDDR6 Graphics Card,  GV-N1656WF2OC-4GD REV2.0 Video Card",,0.0,0,169.99,49.99,219.98,https://c1.neweggimages.com/ProductImageCompressAll300/AU94S210315yVhhL.jpg,https://www.newegg.com/p/1B4-09MM-00001,,,,,YLFGTX02,2023-03-23 10:45:10
1B4-09PG-000A2,M.2 NGFF to 90/180 Degree PCI-E 3.0 X16 Graphics Card Extender Extension Adapter,,0.0,0,28.13,0.0,28.13,https://c1.neweggimages.com/ProductImageCompressAll300/AR6YD210408HHD5C.jpg,https://www.newegg.com/p/1B4-09PG-000A2,,,,,6901614009240,2023-03-23 10:45:10
1B4-09RP-03280,HD6350 2G DDR3 PCIE PCI-E2.0 64BIT Dual VGA + HDMI port Video Graphic Card,,0.0,0,176.46,0.0,176.46,https://c1.neweggimages.com/ProductImageCompressAll300/AUYPD210122P55GK.jpg,https://www.newegg.com/p/1B4-09RP-03280,,,,,WM-LW001-A1-3098,2023-03-23 10:45:10
